module,resource,permission
admin,log entry,Can add log entry
admin,log entry,Can change log entry
admin,log entry,Can delete log entry
admin,log entry,Can view log entry
auth,group,Can add group
auth,group,Can change group
auth,group,Can delete group
auth,group,Can view group
auth,permission,Can add permission
auth,permission,Can change permission
auth,permission,Can delete permission
auth,permission,Can view permission
choices,actiontaken,Can add action taken
choices,actiontaken,Can change action taken
choices,actiontaken,Can delete action taken
choices,actiontaken,Can view action taken
choices,behavior,Can add behavior
choices,behavior,Can change behavior
choices,behavior,Can delete behavior
choices,behavior,Can view behavior
choices,causeofdeath,Can add cause of death
choices,causeofdeath,Can change cause of death
choices,causeofdeath,Can delete cause of death
choices,causeofdeath,Can view cause of death
choices,choice,Can add choice
choices,choice,Can change choice
choices,choice,Can delete choice
choices,choice,Can view choice
choices,color,Can add color
choices,color,Can change color
choices,color,Can delete color
choices,color,Can view color
choices,conservancy,Can add conservancy
choices,conservancy,Can change conservancy
choices,conservancy,Can delete conservancy
choices,conservancy,Can view conservancy
choices,Disabled Choice,Can add Disabled Choice
choices,Disabled Choice,Can change Disabled Choice
choices,Disabled Choice,Can delete Disabled Choice
choices,Disabled Choice,Can view Disabled Choice
choices,dynamic choice,Can add dynamic choice
choices,dynamic choice,Can change dynamic choice
choices,dynamic choice,Can delete dynamic choice
choices,dynamic choice,Can view dynamic choice
choices,fencesection,Can add fence section
choices,fencesection,Can change fence section
choices,fencesection,Can delete fence section
choices,fencesection,Can view fence section
choices,health,Can add health
choices,health,Can change health
choices,health,Can delete health
choices,health,Can view health
choices,species,Can add species
choices,species,Can change species
choices,species,Can delete species
choices,species,Can view species
choices,station,Can add station
choices,station,Can change station
choices,station,Can delete station
choices,station,Can view station
choices,sub choice of,Can add sub choice of
choices,sub choice of,Can change sub choice of
choices,sub choice of,Can delete sub choice of
choices,sub choice of,Can view sub choice of
contenttypes,content type,Can add content type
contenttypes,content type,Can change content type
contenttypes,content type,Can delete content type
contenttypes,content type,Can view content type
analyzers,Google Earth Engine Analyzer,Can add Google Earth Engine Analyzer
analyzers,Google Earth Engine Analyzer,Can change Google Earth Engine Analyzer
analyzers,Google Earth Engine Analyzer,Can delete Google Earth Engine Analyzer
analyzers,Google Earth Engine Analyzer,Can view Google Earth Engine Analyzer
analyzers,Feature Proximity Analyzer,Can add Feature Proximity Analyzer
analyzers,Feature Proximity Analyzer,Can change Feature Proximity Analyzer
analyzers,Feature Proximity Analyzer,Can delete Feature Proximity Analyzer
analyzers,Feature Proximity Analyzer,Can view Feature Proximity Analyzer
analyzers,Feature Proximity Analyzer,Can view Proximity Analyzer Configurations
analyzers,Geofence Analyzer,Can add Geofence Analyzer
analyzers,Geofence Analyzer,Can change Geofence Analyzer
analyzers,Geofence Analyzer,Can delete Geofence Analyzer
analyzers,Geofence Analyzer,Can view Geofence Analyzer
analyzers,Global Forest Watch Subscription,Can add Global Forest Watch Subscription
analyzers,Global Forest Watch Subscription,Can change Global Forest Watch Subscription
analyzers,Global Forest Watch Subscription,Can delete Global Forest Watch Subscription
analyzers,Global Forest Watch Subscription,Can view Global Forest Watch Subscription
analyzers,Immobility Analyzer,Can add Immobility Analyzer
analyzers,Immobility Analyzer,Can change Immobility Analyzer
analyzers,Immobility Analyzer,Can delete Immobility Analyzer
analyzers,Immobility Analyzer,Can view Immobility Analyzer
analyzers,Low-Speed Analyzer (Percentile method),Can add Low-Speed Analyzer (Percentile method)
analyzers,Low-Speed Analyzer (Percentile method),Can change Low-Speed Analyzer (Percentile method)
analyzers,Low-Speed Analyzer (Percentile method),Can delete Low-Speed Analyzer (Percentile method)
analyzers,Low-Speed Analyzer (Percentile method),Can view Low-Speed Analyzer (Percentile method)
analyzers,Low-Speed Analyzer (Wilcox method),Can add Low-Speed Analyzer (Wilcox method)
analyzers,Low-Speed Analyzer (Wilcox method),Can change Low-Speed Analyzer (Wilcox method)
